sample_prefix,Sample,Cluster,c1,c2,c3,replicate,Prep
115,115-cdk8-35C-4h-1,1,cdk8,35C,4h,1,prepp 7
116,116-Wt-35C-6h-1,1,Wt,35C,6h,1,prepp 7
117,117-med9-35C-6h-1,1,med9,35C,6h,1,prepp 7
119,119-med18-35C-6h-1,1,med18,35C,6h,1,prepp 7
120,120-cdk8-35C-6h-1,1,cdk8,35C,6h,1,prepp 7
127,127-med9-35C-2h-2,1,med9,35C,2h,2,prepp 7
129,129-med18-35C-2h-2,1,med18,35C,2h,2,prepp 7
13,13-med16-30C-4h-1,1,med16,30C,4h,1,prepp 3
130,130-cdk8-35C-2h-2,1,cdk8,35C,2h,2,prepp 7
132,132-med9-35C-4h-2,1,med9,35C,4h,2,prepp 7
133,133-med16-35C-4h-2,1,med16,35C,4h,2,prepp 7
134,134-med18-35C-4h-2,1,med18,35C,4h,2,prepp 7
135,135-cdk8-35C-4h-2,1,cdk8,35C,4h,2,prepp 7
136,136-Wt-35C-6h-2,1,Wt,35C,6h,2,prepp 7
140,140-cdk8-35C-6h-2,1,cdk8,35C,6h,2,prepp 7
145,145-cdk8-35C-0h-3,1,cdk8,35C,0h,3,prepp 7
146,146-Wt-35C-2h-3,1,Wt,35C,2h,3,prepp 7
147,147-med9-35C-2h-3,1,med9,35C,2h,3,prepp 7
150,150-cdk8-35C-2h-3,1,cdk8,35C,2h,3,prepp 7
152,152-med9-35C-4h-3,1,med9,35C,4h,3,prepp 7
153,153-med16-35C-4h-3,1,med16,35C,4h,3,prepp 7
154,154-med18-35C-4h-3,1,med18,35C,4h,3,prepp 7
156,156-Wt-35C-6h-3,1,Wt,35C,6h,3,prepp 7
157,157-med9-35C-6h-3,1,med9,35C,6h,3,prepp 7
159,159-med18-35C-6h-3,1,med18,35C,6h,3,prepp 7
160,160-cdk8-35C-6h-3,1,cdk8,35C,6h,3,prepp 7
162,162-med9-35C-0h-4,1,med9,35C,0h,4,prepp 7
166,166-Wt-35C-2h-4,1,Wt,35C,2h,4,prepp 7
167,167-med9-35C-2h-4,1,med9,35C,2h,4,prepp 7
169,169-med18-35C-2h-4,1,med18,35C,2h,4,prepp 7
17,17-med9-30C-6h-1,1,med9,30C,6h,1,prepp 3
170,170-cdk8-35C-2h-4,1,cdk8,35C,2h,4,prepp 7
171,171-Wt-35C-4h-4,1,Wt,35C,4h,4,prepp 7
172,172-med9-35C-4h-4,1,med9,35C,4h,4,prepp 7
174,174-med18-35C-4h-4,1,med18,35C,4h,4,prepp 7
175,175-cdk8-35C-4h-4,1,cdk8,35C,4h,4,prepp 7
176,176-Wt-35C-6h-4,1,Wt,35C,6h,4,prepp 7
177,177-med9-35C-6h-4,1,med9,35C,6h,4,prepp 7
179,179-med18-35C-6h-4,1,med18,35C,6h,4,prepp 7
180,180-cdk8-35C-6h-4,1,cdk8,35C,6h,4,prepp 7
181,181-Wt-35C-0h-5,1,Wt,35C,0h,5,prepp 7
182,182-med9-35C-0h-5,1,med9,35C,0h,5,prepp 7
183,183-med16-35C-0h-5,1,med16,35C,0h,5,prepp 7
184,184-med18-35C-0h-5,1,med18,35C,0h,5,prepp 7
186,186-Wt-35C-2h-5,1,Wt,35C,2h,5,prepp 7
187,187-med9-35C-2h-5,1,med9,35C,2h,5,prepp 7
188,188-med16-35C-2h-5,1,med16,35C,2h,5,prepp 7
189,189-med18-35C-2h-5,1,med18,35C,2h,5,prepp 7
19,19-med18-30C-6h-1,1,med18,30C,6h,1,prepp 3
190,190-cdk8-35C-2h-5,1,cdk8,35C,2h,5,prepp 7
191,191-Wt-35C-4h-5,1,Wt,35C,4h,5,prepp 7
192,192-med9-35C-4h-5,1,med9,35C,4h,5,prepp 7
194,194-med18-35C-4h-5,1,med18,35C,4h,5,prepp 3
196,196-Wt-35C-6h-5,1,Wt,35C,6h,5,prepp 3
197,197-med9-35C-6h-5,1,med9,35C,6h,5,prepp 3
20,20-cdk8-30C-6h-1,1,cdk8,30C,6h,1,prepp 3
200,200-cdk8-35C-6h-5,1,cdk8,35C,6h,5,prepp 3
202,202-med9-Na200-0h-1,1,med9,Na200,0h,1,prepp 3
204,204-med18-Na200-0h-1,1,med18,Na200,0h,1,prepp 3
205,205-cdk8-Na200-0h-1,1,cdk8,Na200,0h,1,prepp 3
206,206-Wt-Na200-2h-1,1,Wt,Na200,2h,1,prepp 3
207,207-med9-Na200-2h-1,1,med9,Na200,2h,1,prepp 3
208,208-med16-Na200-2h-1,1,med16,Na200,2h,1,prepp 3
211,211-Wt-Na200-4h-1,1,Wt,Na200,4h,1,prepp 3
212,212-med9-Na200-4h-1,1,med9,Na200,4h,1,prepp 3
213,213-med16-Na200-4h-1,1,med16,Na200,4h,1,prepp 3
214,214-med18-Na200-4h-1,1,med18,Na200,4h,1,prepp 3
215,215-cdk8-Na200-4h-1,1,cdk8,Na200,4h,1,prepp 3
216,216-Wt-Na200-6h-1,1,Wt,Na200,6h,1,prepp 3
217,217-med9-Na200-6h-1,1,med9,Na200,6h,1,prepp 3
218,218-med16-Na200-6h-1,1,med16,Na200,6h,1,prepp 3
219,219-med18-Na200-6h-1,1,med18,Na200,6h,1,prepp 3
220,220-cdk8-Na200-6h-1,1,cdk8,Na200,6h,1,prepp 3
221,221-Wt-Na200-0h-2,1,Wt,Na200,0h,2,prepp 3
222,222-med9-Na200-0h-2,1,med9,Na200,0h,2,prepp 3
223,223-med16-Na200-0h-2,1,med16,Na200,0h,2,prepp 3
224,224-med18-Na200-0h-2,1,med18,Na200,0h,2,prepp 3
227,227-med9-Na200-2h-2,1,med9,Na200,2h,2,prepp 3
229,229-med18-Na200-2h-2,1,med18,Na200,2h,2,prepp 3
230,230-cdk8-Na200-2h-2,1,cdk8,Na200,2h,2,prepp 3
231,231-Wt-Na200-4h-2,1,Wt,Na200,4h,2,prepp 3
232,232-med9-Na200-4h-2,1,med9,Na200,4h,2,prepp 3
235,235-cdk8-Na200-4h-2,1,cdk8,Na200,4h,2,prepp 3
236,236-Wt-Na200-6h-2,1,Wt,Na200,6h,2,prepp 3
237,237-med9-Na200-6h-2,1,med9,Na200,6h,2,prepp 3
238,238-med16-Na200-6h-2,1,med16,Na200,6h,2,prepp 3
239,239-med18-Na200-6h-2,1,med18,Na200,6h,2,prepp 3
240,240-cdk8-Na200-6h-2,1,cdk8,Na200,6h,2,prepp 3
242,242-med9-Na200-0h-3,1,med9,Na200,0h,3,prepp 3
243,243-med16-Na200-0h-3,1,med16,Na200,0h,3,prepp 3
